,0
0,"PHYS111 LA,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),79 (1),123 (1),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),202 (2)"
1,"PHYS111 no-LA,395 (6),436 (4),308 (6),416 (5),265 (5),411 (5),164 (3),218 (3),267 (4),355 (4),256 (5),387 (4),277 (4),385 (4),249 (3),403 (4),5192 (69)"
2,"PHYS112 LA,0 (0),122 (1),0 (0),0 (0),0 (0),0 (0),114 (1),102 (1),0 (0),0 (0),0 (0),99 (1),0 (0),0 (0),64 (1),0 (0),501 (5)"
3,"PHYS112 no-LA,137 (2),137 (2),175 (2),167 (2),151 (2),165 (2),30 (1),42 (1),132 (2),146 (2),126 (2),61 (1),121 (2),138 (2),83 (1),146 (1),1957 (27)"
4,"PHYS211 LA,84 (2),166 (4),42 (1),42 (1),42 (1),123 (3),123 (3),207 (5),210 (5),210 (5),149 (4),123 (3),166 (4),83 (2),129 (4),144 (3),2043 (50)"
5,"PHYS211 no-LA,213 (6),182 (5),134 (4),304 (8),175 (5),219 (6),93 (4),189 (7),28 (2),214 (7),50 (2),264 (7),75 (2),259 (7),70 (2),250 (8),2719 (82)"
6,"PHYS211A LA,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),42 (1),0 (0),0 (0),0 (0),16 (1),64 (2),17 (1),0 (0),35 (1),82 (2),256 (8)"
7,"PHYS211A no-LA,114 (3),179 (5),111 (3),189 (5),116 (4),258 (7),102 (3),151 (5),112 (3),110 (4),22 (1),42 (1),35 (1),88 (3),0 (0),0 (0),1629 (48)"
8,"PHYS212 LA,65 (2),81 (2),82 (2),121 (3),69 (2),167 (4),90 (2),80 (2),25 (1),76 (2),115 (3),129 (4),81 (2),190 (5),90 (3),83 (2),1544 (41)"
9,"PHYS212 no-LA,261 (8),326 (10),333 (9),153 (5),301 (9),171 (6),418 (12),312 (10),420 (13),260 (8),294 (9),144 (4),279 (8),118 (4),261 (7),246 (7),4297 (129)"
10,"MATH111 LA,0 (0),0 (0),36 (1),0 (0),78 (2),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),114 (3)"
11,"MATH111 no-LA,440 (13),216 (6),425 (12),131 (4),426 (12),174 (5),238 (8),102 (4),218 (7),100 (4),211 (6),85 (3),409 (14),97 (3),519 (14),103 (3),3894 (118)"
12,"MATH171 LA,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),268 (7),0 (0),0 (0),0 (0),0 (0),0 (0),268 (7)"
13,"MATH171 no-LA,348 (9),279 (7),372 (9),301 (8),282 (8),275 (8),244 (7),143 (4),248 (7),132 (4),0 (0),151 (4),333 (9),197 (6),332 (9),248 (6),3885 (105)"
14,"MATH182A LA,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),29 (1),0 (0),0 (0),29 (1)"
15,"MATH182A no-LA,0 (0),165 (5),0 (0),202 (6),35 (1),369 (11),70 (2),269 (8),66 (2),314 (8),77 (2),303 (9),77 (2),228 (6),103 (3),289 (7),2567 (72)"
16,"MATH211 LA,0 (0),0 (0),44 (1),110 (3),144 (4),132 (3),89 (3),119 (3),138 (4),110 (3),146 (4),39 (1),0 (0),102 (3),0 (0),0 (0),1173 (32)"
17,"MATH211 no-LA,137 (4),77 (4),85 (3),0 (0),0 (0),0 (0),34 (1),0 (0),0 (0),0 (0),0 (0),70 (2),156 (4),0 (0),154 (4),117 (3),830 (25)"
